[size(bytes) : time(ms)] =, 16, 0.525637042
[size(bytes) : time(ms)] =, 16, 0.564011678
[size(bytes) : time(ms)] =, 32, 0.132381684
[size(bytes) : time(ms)] =, 32, 0.086189084
[size(bytes) : time(ms)] =, 64, 0.087216462
[size(bytes) : time(ms)] =, 64, 0.087099392
[size(bytes) : time(ms)] =, 128, 0.08919354
[size(bytes) : time(ms)] =, 128, 0.089073126
[size(bytes) : time(ms)] =, 256, 0.089801506
[size(bytes) : time(ms)] =, 256, 0.089692198
[size(bytes) : time(ms)] =, 512, 0.247622892
[size(bytes) : time(ms)] =, 512, 0.247477284
[size(bytes) : time(ms)] =, 1024, 0.110230806
[size(bytes) : time(ms)] =, 1024, 0.110165344
[size(bytes) : time(ms)] =, 2048, 0.133842386
[size(bytes) : time(ms)] =, 2048, 0.133764704
[size(bytes) : time(ms)] =, 4096, 0.160861914
[size(bytes) : time(ms)] =, 4096, 0.16078743
[size(bytes) : time(ms)] =, 8192, 0.218798296
[size(bytes) : time(ms)] = ,8192, 0.218740826
[size(bytes) : time(ms)] =, 16384, 0.31093175
[size(bytes) : time(ms)] =, 16384, 0.310893642
[size(bytes) : time(ms)] =, 32768, 0.596973938
size(bytes) : time(ms)]  =, 65536, 0.941274184
[size(bytes) : time(ms)] =, 65536, 0.941229506
[size(bytes) : time(ms)] =, 131072, 1.71980592
[size(bytes) : time(ms)] =, 131072, 1.719744616
[size(bytes) : time(ms)] =, 262144, 2.990297064
[size(bytes) : time(ms)] =, 262144, 2.99020189
[size(bytes) : time(ms)] =, 524288, 5.97199563
[size(bytes) : time(ms)] =, 524288, 5.970977582
[size(bytes) : time(ms)] =, 1048576, 11.778387652
[size(bytes) : time(ms)] =, 1048576, 11.778352198
[size(bytes) : time(ms)] =, 2097152, 23.575728728
size(bytes) : time(ms)]  =, 4194304, 45.782020536
[size(bytes) : time(ms)] =, 4194304, 45.781826254
[size(bytes) : time(ms)] =, 8388608, 81.344381146
[size(bytes) : time(ms)] =, 8388608, 81.344206982